                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3947,                 4.0773,                 4.3117,                 1.8002,                0.00267,                    0.8,                0.01304,                0.00499,                0.00242,                  0.725,                 0.0104,                0.00328,                 1.8321,                 3.8737,                 4.7565,                 1.6298,                0.00038,                0.00038,                0.00038
                      2,                 2.4994,                 4.1953,                 4.1236,                 2.0235,                0.00275,                  0.825,                0.01305,                  0.004,                0.00258,                  0.775,                 0.0089,                0.00291,                 2.0337,                 3.8351,                 4.8861,                 1.7404,             0.00075426,             0.00075426,             0.00075426
                      3,                 2.1944,                 3.6429,                 4.0525,                 1.8012,                0.00512,                   0.75,                0.17486,                0.06761,                0.00461,                  0.675,                0.12195,                0.03471,                 2.0355,                 5.4794,                 4.1705,                 1.7915,              0.0011021,              0.0011021,              0.0011021
                      4,                 1.9096,                 3.0593,                  3.468,                  1.695,                0.23209,                   0.15,                0.11088,                0.02997,                0.23209,                   0.15,                0.09579,                0.02956,                 2.7107,                 4.9592,                 5.1529,                 2.8706,              0.0014236,              0.0014236,              0.0014236
                      5,                 1.7506,                 3.4584,                 3.8866,                 1.5936,                0.23209,                   0.15,                0.11088,                0.02997,                0.23209,                   0.15,                0.09579,                0.02956,                 2.7107,                 4.9592,                 5.1529,                 2.8706,              0.0017186,              0.0017186,              0.0017186
                      6,                 1.7458,                 3.4888,                 3.0807,                 1.5227,                 0.1998,                   0.25,                0.17524,                 0.0452,                0.30045,                   0.35,                0.25595,                0.05596,                 2.7235,                  19.41,                 8.4787,                 5.6789,                0.00167,                0.00167,                0.00167
                      7,                 2.0296,                 3.0391,                 3.2299,                 1.8324,                 0.1998,                   0.25,                0.17524,                 0.0452,                0.30045,                   0.35,                0.25595,                0.05596,                 2.7235,                  19.41,                 8.4787,                 5.6789,                0.00167,                0.00167,                0.00167
                      8,                 1.9499,                 2.6372,                 3.2998,                 1.7133,                0.07885,                  0.125,                0.01912,                0.00714,                0.07885,                  0.125,                 0.0197,                0.00529,                 2.5887,                  4.438,                 6.1248,                 2.8167,               0.001604,               0.001604,               0.001604
                      9,                 2.0137,                 2.6948,                 3.8083,                 1.8713,                0.16654,                0.69441,                0.21084,                0.06896,                0.18449,                   0.55,                0.20405,                0.04642,                 2.1795,                 4.1803,                 16.367,                 2.2603,               0.001538,               0.001538,               0.001538
                     10,                 1.9953,                 2.8763,                 3.0491,                 1.7607,                0.16654,                0.69441,                0.21084,                0.06896,                0.18449,                   0.55,                0.20405,                0.04642,                 2.1795,                 4.1803,                 16.367,                 2.2603,               0.001472,               0.001472,               0.001472
                     11,                 2.1136,                 2.6343,                 3.2971,                 1.7526,                0.11907,                  0.425,                0.17526,                0.03715,                0.14008,                    0.5,                0.23323,                0.06294,                 2.6403,                 2.2347,                  13.91,                 2.9181,               0.001406,               0.001406,               0.001406
                     12,                 2.0823,                 1.9162,                 3.0284,                 1.7477,                0.47115,                  0.275,                0.35828,                 0.1415,                0.46432,                   0.45,                 0.4764,                0.21673,                 1.8927,                 1.9067,                 3.7165,                 1.9542,                0.00134,                0.00134,                0.00134
                     13,                 1.7262,                 2.0079,                 3.0842,                 1.5808,                0.47115,                  0.275,                0.35828,                 0.1415,                0.46432,                   0.45,                 0.4764,                0.21673,                 1.8927,                 1.9067,                 3.7165,                 1.9542,               0.001274,               0.001274,               0.001274
